"ENSG_id","SRR7351059","SRR7351063","SRR7351065","SRR7351060","SRR7351064","SRR7351066"
"ENSG00000000003",5,10,2,4,0,1
"ENSG00000000005",0,0,0,0,0,0
"ENSG00000000419",640,547,695,735,616,455
"ENSG00000000457",763,732,587,871,624,401
"ENSG00000000460",183,172,167,199,93,88
"ENSG00000000938",16044,14246,24543,21360,12909,29261
"ENSG00000000971",227,334,154,270,117,37
"ENSG00000001036",670,805,460,886,490,306
"ENSG00000001084",622,682,427,864,411,187
"ENSG00000001167",1643,1262,1603,1599,1445,1420
"ENSG00000001460",63,61,15,65,32,7
"ENSG00000001461",1021,957,457,1207,531,174
"ENSG00000001497",719,703,402,941,480,174
"ENSG00000001561",440,471,245,679,288,108
"ENSG00000001617",1,1,2,0,2,1
"ENSG00000001626",0,0,1,0,6,0
"ENSG00000001629",1553,1332,995,1796,715,628
"ENSG00000001630",42,52,11,38,9,9
"ENSG00000001631",1121,985,743,1282,605,398
"ENSG00000002016",284,260,205,374,216,167
"ENSG00000002079",0,0,0,0,0,0
"ENSG00000002330",276,270,247,364,239,199
"ENSG00000002549",1603,2474,1556,2641,2070,691
"ENSG00000002586",3745,4138,2182,4858,2812,1290
"ENSG00000002587",6,25,9,12,8,6
"ENSG00000002726",30,35,43,24,208,68
"ENSG00000002745",3,14,37,5,7,23
"ENSG00000002746",0,0,0,1,0,0
"ENSG00000002822",637,686,330,938,497,183
"ENSG00000002834",9549,7260,14221,10873,9402,12267
"ENSG00000002919",1214,1035,1840,1331,1286,1571
"ENSG00000002933",752,2394,1375,1178,1865,1204
"ENSG00000003056",2706,2936,1771,4000,2164,1015
"ENSG00000003096",3,15,8,2,7,4
"ENSG00000003137",0,0,0,0,0,0
"ENSG00000003147",114,88,67,126,77,38
"ENSG00000003249",29,36,7,32,8,3
"ENSG00000003393",414,323,363,465,238,242
"ENSG00000003400",1273,1432,1307,1793,1212,1021
"ENSG00000003402",24850,16602,42580,23279,26780,37627
"ENSG00000003436",16,15,21,14,17,11
"ENSG00000003509",406,397,356,497,295,271
"ENSG00000003756",5740,4821,7770,6362,4608,5546
"ENSG00000003987",2,1,4,3,0,2
"ENSG00000003989",0,0,0,0,0,0
"ENSG00000004059",1369,1367,1475,1806,1295,1153
"ENSG00000004139",753,703,330,892,391,113
"ENSG00000004142",694,744,644,999,619,420
"ENSG00000004399",2320,3732,1915,3300,1582,1297
"ENSG00000004455",1977,1960,1370,2460,1377,804
"ENSG00000004468",756,623,441,1281,589,189
"ENSG00000004478",641,612,351,937,531,259
"ENSG00000004487",815,971,509,1122,571,264
"ENSG00000004534",4047,4117,3410,5274,3575,2281
"ENSG00000004660",714,348,1823,613,604,1656
"ENSG00000004700",1868,1727,1223,2552,1230,611
"ENSG00000004766",620,599,414,745,269,201
"ENSG00000004776",4,1,0,0,0,1
"ENSG00000004777",306,329,152,400,197,139
"ENSG00000004779",363,429,267,544,310,163
"ENSG00000004799",649,390,1311,575,306,1400
"ENSG00000004809",46,70,42,57,52,37
"ENSG00000004838",70,78,56,107,70,25
"ENSG00000004846",0,1,0,1,0,0
"ENSG00000004848",1,1,0,0,0,0
"ENSG00000004864",439,495,315,488,262,202
"ENSG00000004866",99,140,70,114,94,47
"ENSG00000004897",1212,1149,1028,1412,818,607
"ENSG00000004939",10,7,23,1,7,2
"ENSG00000004948",0,1,0,0,0,1
"ENSG00000004961",310,333,310,439,255,217
"ENSG00000004975",546,549,363,734,444,223
"ENSG00000005001",5,2,5,13,0,2
"ENSG00000005007",4655,3474,6580,4865,3572,5382
"ENSG00000005020",3061,2306,4555,3178,2679,4111
"ENSG00000005022",2401,2747,1349,3663,1856,994
"ENSG00000005059",1258,1419,707,1723,1017,354
"ENSG00000005073",1,0,0,1,0,0
"ENSG00000005075",508,364,444,604,420,339
"ENSG00000005100",454,497,284,634,255,196
"ENSG00000005102",28,17,15,57,13,0
"ENSG00000005108",2,7,1,0,0,7
