"chr","start","end","length"
"chr1",12190,249212562,3564343
"chr2",41608,242946635,2550823
"chr3",361460,197896723,2004588
"chr4",53383,191013434,1402280
"chr5",140423,180795226,1627145
"chr6",292540,170893669,1798414
"chr7",193200,158937463,1676511
"chr8",116086,146279543,1186854
"chr9",14807,141124256,1437367
"chr10",92997,135498450,1392686
"chr11",130207,134856643,2066397
"chr12",78791,133810942,1818391
"chr13",19748003,115091756,637955
"chr14",19377594,107259761,1111468
"chr15",20362739,102518980,1232618
"chr16",66541,90233754,1484735
"chr17",6013,81052320,2011630
"chr18",158699,78005231,547365
"chr19",110679,59093976,2300414
"chr20",68351,62904953,841217
"chr21",9907247,48084286,343410
"chr22",16258186,51220722,737739
"chrX",200855,155255039,1325336
"chrY",150855,59358045,99103
"26",31290,31709,420
"chr1_gl000192_random",133478,229836,3903
"chr4_ctg9_hap1",9739,586968,8643
"chr4_gl000194_random",54731,112848,555
"chr6_apd_hap1",175248,4373040,106994
"chr6_cox_hap2",754,4734509,258455
"chr6_dbb_hap3",266189,4572018,238712
"chr6_mann_hap4",191191,4637496,185127
"chr6_mcf_hap5",175954,4764433,232101
"chr6_qbl_hap6",175248,4609684,239372
"chr6_ssto_hap7",212770,4904543,204771
"chr7_gl000195_random",44724,49117,363
"chr9_gl000201_random",9449,22256,1198
"chr17_ctg5_hap1",87958,1577426,34874
"chr17_gl000204_random",47790,49831,357
"chr19_gl000209_random",7915,153110,9599
"56",65464,65919,456
"chrUn_gl000213",108026,139287,1755
"chrUn_gl000218",38788,95230,694
"chrUn_gl000219",54224,88330,414
"chrUn_gl000222",87599,89260,849
"chrUn_gl000223",47147,119237,3918
"chrUn_gl000228",30530,113879,14859
"47",754,249212562,36747178
