"gene_id","pathway_id","gene_name","pathway_name"
3101,"hsa00010","HK3","Glycolysis / Gluconeogenesis"
3098,"hsa00010","HK1","Glycolysis / Gluconeogenesis"
3099,"hsa00010","HK2","Glycolysis / Gluconeogenesis"
80201,"hsa00010","HKDC1","Glycolysis / Gluconeogenesis"
2645,"hsa00010","GCK","Glycolysis / Gluconeogenesis"
2821,"hsa00010","GPI","Glycolysis / Gluconeogenesis"
5213,"hsa00010","PFKM","Glycolysis / Gluconeogenesis"
5214,"hsa00010","PFKP","Glycolysis / Gluconeogenesis"
5211,"hsa00010","PFKL","Glycolysis / Gluconeogenesis"
2203,"hsa00010","FBP1","Glycolysis / Gluconeogenesis"
8789,"hsa00010","FBP2","Glycolysis / Gluconeogenesis"
230,"hsa00010","ALDOC","Glycolysis / Gluconeogenesis"
226,"hsa00010","ALDOA","Glycolysis / Gluconeogenesis"
229,"hsa00010","ALDOB","Glycolysis / Gluconeogenesis"
7167,"hsa00010","TPI1","Glycolysis / Gluconeogenesis"
2597,"hsa00010","GAPDH","Glycolysis / Gluconeogenesis"
26330,"hsa00010","GAPDHS","Glycolysis / Gluconeogenesis"
5232,"hsa00010","PGK2","Glycolysis / Gluconeogenesis"
5230,"hsa00010","PGK1","Glycolysis / Gluconeogenesis"
5223,"hsa00010","PGAM1","Glycolysis / Gluconeogenesis"
5224,"hsa00010","PGAM2","Glycolysis / Gluconeogenesis"
441531,"hsa00010","PGAM4","Glycolysis / Gluconeogenesis"
2027,"hsa00010","ENO3","Glycolysis / Gluconeogenesis"
2026,"hsa00010","ENO2","Glycolysis / Gluconeogenesis"
2023,"hsa00010","ENO1","Glycolysis / Gluconeogenesis"
387712,"hsa00010","ENO4","Glycolysis / Gluconeogenesis"
5315,"hsa00010","PKM","Glycolysis / Gluconeogenesis"
5313,"hsa00010","PKLR","Glycolysis / Gluconeogenesis"
5161,"hsa00010","PDHA2","Glycolysis / Gluconeogenesis"
5160,"hsa00010","PDHA1","Glycolysis / Gluconeogenesis"
5162,"hsa00010","PDHB","Glycolysis / Gluconeogenesis"
1737,"hsa00010","DLAT","Glycolysis / Gluconeogenesis"
1738,"hsa00010","DLD","Glycolysis / Gluconeogenesis"
8050,"hsa00010","PDHX","Glycolysis / Gluconeogenesis"
160287,"hsa00010","LDHAL6A","Glycolysis / Gluconeogenesis"
92483,"hsa00010","LDHAL6B","Glycolysis / Gluconeogenesis"
3939,"hsa00010","LDHA","Glycolysis / Gluconeogenesis"
3945,"hsa00010","LDHB","Glycolysis / Gluconeogenesis"
3948,"hsa00010","LDHC","Glycolysis / Gluconeogenesis"
124,"hsa00010","ADH1A","Glycolysis / Gluconeogenesis"
125,"hsa00010","ADH1B","Glycolysis / Gluconeogenesis"
126,"hsa00010","ADH1C","Glycolysis / Gluconeogenesis"
131,"hsa00010","ADH7","Glycolysis / Gluconeogenesis"
127,"hsa00010","ADH4","Glycolysis / Gluconeogenesis"
128,"hsa00010","ADH5","Glycolysis / Gluconeogenesis"
130,"hsa00010","ADH6","Glycolysis / Gluconeogenesis"
10327,"hsa00010","AKR1A1","Glycolysis / Gluconeogenesis"
217,"hsa00010","ALDH2","Glycolysis / Gluconeogenesis"
224,"hsa00010","ALDH3A2","Glycolysis / Gluconeogenesis"
219,"hsa00010","ALDH1B1","Glycolysis / Gluconeogenesis"
501,"hsa00010","ALDH7A1","Glycolysis / Gluconeogenesis"
223,"hsa00010","ALDH9A1","Glycolysis / Gluconeogenesis"
221,"hsa00010","ALDH3B1","Glycolysis / Gluconeogenesis"
222,"hsa00010","ALDH3B2","Glycolysis / Gluconeogenesis"
218,"hsa00010","ALDH3A1","Glycolysis / Gluconeogenesis"
84532,"hsa00010","ACSS1","Glycolysis / Gluconeogenesis"
55902,"hsa00010","ACSS2","Glycolysis / Gluconeogenesis"
130589,"hsa00010","GALM","Glycolysis / Gluconeogenesis"
5236,"hsa00010","PGM1","Glycolysis / Gluconeogenesis"
55276,"hsa00010","PGM2","Glycolysis / Gluconeogenesis"
2538,"hsa00010","G6PC1","Glycolysis / Gluconeogenesis"
57818,"hsa00010","G6PC2","Glycolysis / Gluconeogenesis"
92579,"hsa00010","G6PC3","Glycolysis / Gluconeogenesis"
83440,"hsa00010","ADPGK","Glycolysis / Gluconeogenesis"
669,"hsa00010","BPGM","Glycolysis / Gluconeogenesis"
9562,"hsa00010","MINPP1","Glycolysis / Gluconeogenesis"
5105,"hsa00010","PCK1","Glycolysis / Gluconeogenesis"
5106,"hsa00010","PCK2","Glycolysis / Gluconeogenesis"
1431,"hsa00020","CS","Citrate cycle (TCA cycle)"
47,"hsa00020","ACLY","Citrate cycle (TCA cycle)"
50,"hsa00020","ACO2","Citrate cycle (TCA cycle)"
48,"hsa00020","ACO1","Citrate cycle (TCA cycle)"
3417,"hsa00020","IDH1","Citrate cycle (TCA cycle)"
3418,"hsa00020","IDH2","Citrate cycle (TCA cycle)"
3420,"hsa00020","IDH3B","Citrate cycle (TCA cycle)"
3421,"hsa00020","IDH3G","Citrate cycle (TCA cycle)"
3419,"hsa00020","IDH3A","Citrate cycle (TCA cycle)"
55753,"hsa00020","OGDHL","Citrate cycle (TCA cycle)"
4967,"hsa00020","OGDH","Citrate cycle (TCA cycle)"
1743,"hsa00020","DLST","Citrate cycle (TCA cycle)"
1738,"hsa00020","DLD","Citrate cycle (TCA cycle)"
8802,"hsa00020","SUCLG1","Citrate cycle (TCA cycle)"
8801,"hsa00020","SUCLG2","Citrate cycle (TCA cycle)"
8803,"hsa00020","SUCLA2","Citrate cycle (TCA cycle)"
6389,"hsa00020","SDHA","Citrate cycle (TCA cycle)"
6390,"hsa00020","SDHB","Citrate cycle (TCA cycle)"
6391,"hsa00020","SDHC","Citrate cycle (TCA cycle)"
6392,"hsa00020","SDHD","Citrate cycle (TCA cycle)"
2271,"hsa00020","FH","Citrate cycle (TCA cycle)"
4190,"hsa00020","MDH1","Citrate cycle (TCA cycle)"
4191,"hsa00020","MDH2","Citrate cycle (TCA cycle)"
5091,"hsa00020","PC","Citrate cycle (TCA cycle)"
5105,"hsa00020","PCK1","Citrate cycle (TCA cycle)"
5106,"hsa00020","PCK2","Citrate cycle (TCA cycle)"
5161,"hsa00020","PDHA2","Citrate cycle (TCA cycle)"
5160,"hsa00020","PDHA1","Citrate cycle (TCA cycle)"
5162,"hsa00020","PDHB","Citrate cycle (TCA cycle)"
1737,"hsa00020","DLAT","Citrate cycle (TCA cycle)"
8050,"hsa00020","PDHX","Citrate cycle (TCA cycle)"
2821,"hsa00030","GPI","Pentose phosphate pathway"
2539,"hsa00030","G6PD","Pentose phosphate pathway"
25796,"hsa00030","PGLS","Pentose phosphate pathway"
9563,"hsa00030","H6PD","Pentose phosphate pathway"
5226,"hsa00030","PGD","Pentose phosphate pathway"
6120,"hsa00030","RPE","Pentose phosphate pathway"
729020,"hsa00030","RPEL1","Pentose phosphate pathway"
7086,"hsa00030","TKT","Pentose phosphate pathway"
84076,"hsa00030","TKTL2","Pentose phosphate pathway"
8277,"hsa00030","TKTL1","Pentose phosphate pathway"
6888,"hsa00030","TALDO1","Pentose phosphate pathway"
22934,"hsa00030","RPIA","Pentose phosphate pathway"
51071,"hsa00030","DERA","Pentose phosphate pathway"
64080,"hsa00030","RBKS","Pentose phosphate pathway"
5236,"hsa00030","PGM1","Pentose phosphate pathway"
55276,"hsa00030","PGM2","Pentose phosphate pathway"
221823,"hsa00030","PRPS1L1","Pentose phosphate pathway"
5634,"hsa00030","PRPS2","Pentose phosphate pathway"
5631,"hsa00030","PRPS1","Pentose phosphate pathway"
9104,"hsa00030","RGN","Pentose phosphate pathway"
414328,"hsa00030","IDNK","Pentose phosphate pathway"
132158,"hsa00030","GLYCTK","Pentose phosphate pathway"
230,"hsa00030","ALDOC","Pentose phosphate pathway"
226,"hsa00030","ALDOA","Pentose phosphate pathway"
229,"hsa00030","ALDOB","Pentose phosphate pathway"
2203,"hsa00030","FBP1","Pentose phosphate pathway"
8789,"hsa00030","FBP2","Pentose phosphate pathway"
