"chr","start","end","length"
"chr1",11874,249213345,8536396
"chr2",38814,243102469,6044007
"chr3",238279,197955678,4955536
"chr4",53227,191013442,3522797
"chr5",140373,180848396,4039517
"chr6",146550,171006035,4405461
"chr7",149597,158937649,4282683
"chr8",116086,146281416,3063348
"chr9",11987,141139819,3529839
"chr10",92828,135498458,3579058
"chr11",120811,134856693,4657433
"chr12",67611,133812422,4514660
"chr13",19312240,115092803,1750643
"chr14",19377594,107283085,2785249
"chr15",20319595,102519296,3107276
"chr16",61555,90289081,3331916
"chr17",6011,81188573,4529262
"chr18",102909,78005397,1475531
"chr19",60951,59110852,4626605
"chr20",68351,62934707,2107304
"chr21",9690071,48085155,916721
"chr22",16150260,51238065,1935166
"chrX",192991,155257848,3132680
"chrY",142991,59360854,274304
"chrM",236,16571,10814
"chr1_gl000191_random",29663,50281,11325
"chr1_gl000192_random",55679,468443,35549
"chr4_ctg9_hap1",6027,587974,17546
"chr4_gl000193_random",49163,88375,2388
"chr4_gl000194_random",53589,115071,7337
"chr6_apd_hap1",130803,4383650,249211
"chr6_cox_hap2",732,4734611,509308
"chr6_dbb_hap3",130812,4572120,457309
"chr6_mann_hap4",130803,4679971,387163
"chr6_mcf_hap5",130807,4764535,437005
"chr6_qbl_hap6",130803,4609700,477532
"chr6_ssto_hap7",168171,4905564,423245
"chr7_gl000195_random",29245,141360,7334
"chr9_gl000201_random",3905,22909,3752
"chr17_ctg5_hap1",86404,1577426,86754
"chr17_gl000204_random",43956,49839,4199
"49",116623,119732,3110
"chr19_gl000209_random",7910,153112,13348
"chrUn_gl000211",21805,108678,6430
"chrUn_gl000212",24049,66597,3376
"chrUn_gl000213",97966,139339,1984
"chrUn_gl000214",30381,68054,1339
"chrUn_gl000218",38786,97454,10994
"chrUn_gl000219",45397,99642,7386
"chrUn_gl000220",97129,156152,17142
"chrUn_gl000221",39141,45020,2842
"chrUn_gl000222",15194,122814,3626
"chrUn_gl000223",351,164052,13921
"71",72417,72506,90
"chrUn_gl000228",29339,124171,22391
"73",16405,16424,20
"chrUn_gl000237",1,2686,1217
"chrUn_gl000241",20433,36875,737
"chrUn_gl000243",11501,13637,60
"91",5787,5816,30
"60",1,249213345,88341206
