"chr","start","end","length"
"1",69090,248918362,3626162
"2",41607,242686640,2573549
"3",319776,199291779,2008788
"4",53488,191180813,1412917
"5",92231,181368224,1636427
"6",292539,170584580,1816627
"7",193199,159144770,1622545
"8",166085,145054156,1199625
"9",14806,140510650,1414546
"10",47056,135044981,1389436
"11",193099,134387658,2043845
"12",66882,133234355,1821988
"13",18897868,114326280,638555
"14",18601116,105529793,1103854
"15",18848597,101923058,1212630
"16",47429,90128591,1463231
"17",137590,83094574,2010270
"18",47389,80247347,551720
"19",110678,63517960,2254740
"20",87709,64273599,848349
"21",5022679,46664373,365174
"22",15528158,50782293,706901
"X",284187,156010408,1369427
"Y",245101,57196928,94466
"24",14806,248918362,35185772
