"chr","start","end","length"
"1",65565,248918360,3611401
"2",41611,241900369,2624206
"3",197647,198038664,2031404
"4",53489,190175195,1417156
"5",92232,181368222,1626801
"6",292540,170584581,1793450
"7",193200,159144771,1687332
"X",284188,156025371,1353301
"8",166089,145065777,1209888
"9",14810,138121996,1438841
"11",168961,134387659,2117394
"10",47060,133626742,1382675
"12",66883,133234356,1854327
"13",19173866,114326278,646336
"14",18601117,106875017,1168819
"15",19964666,101923113,1231160
"16",47433,90075910,1519358
"17",137591,83094572,2052816
"18",47393,80247348,564173
"20",87710,64287818,845712
"19",107149,58571389,2367227
"Y",2786992,25624524,70023
"22",15528192,50782294,755905
"21",5011799,46664371,354605
"MT",3307,15887,11327
"KI270728.1",17264,1271271,3629
"KI270727.1",100126,387225,4244
"GL000009.2",58084,58308,225
"GL000194.1",53650,112848,759
"GL000205.2",100363,104759,360
"GL000195.1",44727,178360,720
"GL000219.1",54227,83311,369
"KI270734.1",72838,161586,3747
"GL000213.1",108029,139287,1769
"GL000218.1",53486,54214,729
"KI270731.1",11288,12574,1287
"KI270721.1",2676,11612,459
"KI270726.1",26241,41876,645
"KI270711.1",6130,29453,2829
"KI270713.1",31845,35913,1035
"40",2676,248918360,35758443
