"chr","gene_id","gene_name","start","end","transcript","exon","cds"
"1","ENSG00000284662","OR4F16",685679,686673,1,1,1
"1","ENSG00000186827","TNFRSF4",1211340,1214153,3,16,7
"1","ENSG00000186891","TNFRSF18",1203508,1206592,4,18,18
"1","ENSG00000160072","ATAD3B",1471765,1497848,6,63,25
"1","ENSG00000041988","THAP3",6624866,6635586,8,34,23
"1","ENSG00000260179","",1249777,1251334,1,1,0
"1","ENSG00000234396","",2212523,2220738,1,2,0
"1","ENSG00000225972","MTND1P23",629062,629433,1,1,0
"1","ENSG00000224315","RPL7P7",8786211,8786913,1,1,0
"1","ENSG00000198744","MTCO3P12",634376,634922,1,1,0
"1","ENSG00000279928","DDX11L17",182696,184174,1,5,0
"1","ENSG00000228037","",2581560,2584533,1,3,0
"1","ENSG00000142611","PRDM16",3069168,3438621,10,107,82
"1","ENSG00000225630","MTND2P28",629640,630683,1,1,0
"1","ENSG00000067606","PRKCZ",2050411,2185395,26,189,106
"1","ENSG00000131584","ACAP3",1292390,1309609,13,124,49
"1","ENSG00000227589","TP73-AS3",3658938,3668772,1,3,0
"1","ENSG00000237402","CAMTA1-IT1",7368942,7370270,1,2,0
"1","ENSG00000284616","",5301928,5307394,1,4,0
"1","ENSG00000169972","PUSL1",1308597,1311677,5,26,11
"1","ENSG00000157911","PEX10",2403964,2413797,9,43,32
"1","ENSG00000269896","",2350414,2352820,2,2,0
"1","ENSG00000237973","MTCO1P12",631074,632616,1,1,0
"1","ENSG00000224051","CPTP",1324756,1328896,3,8,4
"1","ENSG00000228750","LINC01672",6724637,6730012,6,14,0
"1","ENSG00000228463","",257864,359681,6,18,0
"1","ENSG00000238260","",3623190,3624743,1,3,0
"1","ENSG00000260972","",5492978,5494674,1,1,0
"1","ENSG00000157933","SKI",2228319,2310213,4,14,7
"1","ENSG00000162591","MEGF6",3487951,3611508,7,122,105
"1","ENSG00000224340","",10054445,10054781,1,1,0
"1","ENSG00000270035","",7698303,7698872,1,1,0
"1","ENSG00000169962","TAS1R3",1331280,1335314,1,6,6
"1","ENSG00000226545","",8798475,8799506,1,2,0
"1","ENSG00000233653","CICP7",487101,489906,1,2,0
"1","ENSG00000268663","WBP1LP6",674842,675265,1,1,0
"1","ENSG00000226374","LINC01345",3944547,3949024,4,15,0
"1","ENSG00000116285","ERRFI1",8004404,8026309,5,16,11
"1","ENSG00000229280","EEF1DP6",4175528,4175899,1,1,0
"1","ENSG00000142655","PEX14",10472288,10630758,4,21,15
"1","ENSG00000232596","LINC01646",4571481,4594016,8,27,0
"1","ENSG00000235054","LINC01777",4412027,4424689,13,62,0
"1","ENSG00000232663","",8909742,8909904,1,1,0
"1","ENSG00000284646","",11311734,11319093,1,4,0
"1","ENSG00000240409","MTATP8P1",633535,633741,1,1,0
"1","ENSG00000229344","MTCO2P12",632757,633438,1,1,0
"1","ENSG00000231510","LINC02782",5086459,5090899,1,4,0
